GEOID,NMTC Eligibility,Opportunity Zone
12011031203,Not Eligible,No
12011031204,Not Eligible,No
12011031205,Not Eligible,No
12011031206,Not Eligible,No
12011031207,Not Eligible,No
12011040101,Not Eligible,No
12011040102,Not Eligible,No
12011040203,Not Eligible,No
12011040204,Not Eligible,No
12011040205,Not Eligible,No
12011040206,Not Eligible,No
12011040300,Eligible,No
12011040401,Not Eligible,No
12011040402,Not Eligible,No
12011040502,Not Eligible,No
12011040503,Not Eligible,No
12011040505,Not Eligible,No
12011040506,Not Eligible,No
12011040601,Not Eligible,No
12011040602,Not Eligible,No
12011040701,Not Eligible,No
12011040702,Not Eligible,No
12011040801,Severe Distress or Non-Metropolitan,Low-Income Community
12011040802,Not Eligible,No
12011040901,Severe Distress or Non-Metropolitan,Low-Income Community
12011040902,Severe Distress or Non-Metropolitan,No
12011041000,Severe Distress or Non-Metropolitan,Low-Income Community
12011041100,Severe Distress or Non-Metropolitan,Low-Income Community
12011041200,Deep Distress or High Migration Rural County,Low-Income Community
12011041300,Severe Distress or Non-Metropolitan,Low-Income Community
12011041400,Severe Distress or Non-Metropolitan,Low-Income Community
12011041500,Deep Distress or High Migration Rural County,Low-Income Community
12011041601,Severe Distress or Non-Metropolitan,No
12011041602,Severe Distress or Non-Metropolitan,No
12011041700,Severe Distress or Non-Metropolitan,Low-Income Community
12011041801,Not Eligible,No
12011041802,Not Eligible,No
12011041900,Not Eligible,No
12011042000,Not Eligible,No
12011042100,Not Eligible,No
12011042200,Not Eligible,No
12011042301,Not Eligible,No
12011042302,Not Eligible,No
12011042400,Not Eligible,No
12011042501,Not Eligible,No
12011042502,Not Eligible,No
12011042601,Not Eligible,No
12011042602,Not Eligible,No
12011042700,Severe Distress or Non-Metropolitan,No
12011042801,Deep Distress or High Migration Rural County,No
12011042802,Severe Distress or Non-Metropolitan,No
12011042900,Severe Distress or Non-Metropolitan,No
12011043001,Not Eligible,No
12011043002,Not Eligible,No
12011043100,Not Eligible,No
12011043301,Not Eligible,No
12011043302,Eligible,No
12011050100,Eligible,No
12011050204,Not Eligible,No
12011050205,Not Eligible,No
12011050206,Not Eligible,No
12011050207,Severe Distress or Non-Metropolitan,Low-Income Community
12011050208,Severe Distress or Non-Metropolitan,No
12011050301,Not Eligible,Low-Income Community
12011050306,Eligible,No
12011050308,Eligible,Low-Income Community
12011050309,Severe Distress or Non-Metropolitan,No
12011050311,Severe Distress or Non-Metropolitan,Low-Income Community
12011050312,Severe Distress or Non-Metropolitan,Low-Income Community
12011050313,Severe Distress or Non-Metropolitan,No
12011050314,Deep Distress or High Migration Rural County,No
12011050315,Not Eligible,No
12011050316,Not Eligible,No
12011050401,Not Eligible,No
12011050402,Not Eligible,No
12011050501,Not Eligible,No
12011050502,Not Eligible,No
12011050601,Not Eligible,No
12011050602,Not Eligible,No
12011050701,Not Eligible,No
12011050702,Eligible,Low-Income Community
12011050800,Severe Distress or Non-Metropolitan,No
12011050900,Not Eligible,No
12011051001,Not Eligible,No
12011051002,Not Eligible,No
12011060105,Not Eligible,No
12011060107,Not Eligible,No
12011060109,Not Eligible,No
12011060111,Not Eligible,No
12011060113,Not Eligible,No
12011060114,Not Eligible,No
12011060115,Not Eligible,No
12011060116,Not Eligible,No
12011060117,Eligible,No
12011060118,Not Eligible,No
12011060119,Not Eligible,No
12011060120,Not Eligible,No
12011060121,Not Eligible,No
12011060122,Not Eligible,No
12011060123,Not Eligible,No
12011060124,Eligible,No
12011060125,Not Eligible,No
12011060126,Not Eligible,No
12011060127,Severe Distress or Non-Metropolitan,No
12011060128,Eligible,No
12011060129,Eligible,No
12011060130,Severe Distress or Non-Metropolitan,No
12011060203,Severe Distress or Non-Metropolitan,No
12011060206,Not Eligible,No
12011060207,Eligible,No
12011060208,Not Eligible,No
12011060209,Not Eligible,No
12011060210,Not Eligible,No
12011060211,Eligible,No
12011060212,Not Eligible,No
12011060214,Deep Distress or High Migration Rural County,No
12011060215,Severe Distress or Non-Metropolitan,No
12011060302,Severe Distress or Non-Metropolitan,No
12011060303,Severe Distress or Non-Metropolitan,Low-Income Community
12011060304,Deep Distress or High Migration Rural County,No
12011060305,Not Eligible,No
12011060306,Eligible,No
12011060401,Deep Distress or High Migration Rural County,No
12011060402,Severe Distress or Non-Metropolitan,No
12011060404,Not Eligible,No
12011060405,Severe Distress or Non-Metropolitan,No
12011060501,Not Eligible,No
12011060503,Not Eligible,No
12011060504,Not Eligible,No
12011060505,Not Eligible,No
12011060603,Not Eligible,No
12011060605,Not Eligible,No
12011060606,Not Eligible,No
12011060607,Not Eligible,No
12011060608,Not Eligible,No
12011060609,Not Eligible,No
12011060700,Not Eligible,No
12011060801,Not Eligible,No
12011060802,Not Eligible,No
12011060900,Not Eligible,No
12011061001,Not Eligible,No
12011061003,Not Eligible,No
12011061004,Not Eligible,No
12011061100,Eligible,No
12011070102,Not Eligible,No
12011070103,Not Eligible,No
12011070104,Eligible,No
12011070204,Severe Distress or Non-Metropolitan,No
12011070205,Not Eligible,No
12011070208,Not Eligible,No
12011070209,Not Eligible,No
12011070210,Not Eligible,No
12011070211,Not Eligible,No
12011070212,Not Eligible,No
12011070213,Not Eligible,No
12011070304,Not Eligible,No
12011070306,Not Eligible,No
12011070310,Not Eligible,No
12011070311,Not Eligible,No
12011070312,Not Eligible,No
12011070314,Not Eligible,No
12011070315,Not Eligible,No
12011070316,Not Eligible,No
12011070318,Not Eligible,No
12011070319,Not Eligible,No
12011070320,Not Eligible,No
12011070321,Not Eligible,No
12011070323,Not Eligible,No
12011070324,Eligible,No
12011070325,Not Eligible,No
12011070326,Not Eligible,No
12011070327,Eligible,No
12011070328,Not Eligible,No
12011070329,Not Eligible,No
12011070330,Not Eligible,No
12011070331,Not Eligible,No
12011070401,Not Eligible,No
12011070402,Not Eligible,No
12011070403,Not Eligible,No
12011070404,Not Eligible,No
12011070405,Not Eligible,No
12011070501,Not Eligible,No
12011070503,Not Eligible,No
12011070504,Severe Distress or Non-Metropolitan,No
12011070601,Not Eligible,No
12011070602,Not Eligible,No
12011080102,Not Eligible,No
12011080103,Not Eligible,No
12011080104,Not Eligible,No
12011080105,Not Eligible,No
12011080200,Not Eligible,No
12011080402,Not Eligible,No
12011080403,Eligible,No
12011080405,Severe Distress or Non-Metropolitan,No
12011080406,Not Eligible,No
12011080500,Deep Distress or High Migration Rural County,Low-Income Community
12011090102,Not Eligible,No
12011090103,Severe Distress or Non-Metropolitan,No
12011090104,Not Eligible,No
12011090200,Not Eligible,No
12011090301,Eligible,No
12011090303,Not Eligible,No
12011090304,Not Eligible,No
12011090401,Not Eligible,No
12011090403,Eligible,No
12011090404,Severe Distress or Non-Metropolitan,No
12011090502,Not Eligible,No
12011090503,Not Eligible,No
12011090504,Eligible,No
12011090601,Not Eligible,No
12011090602,Not Eligible,No
12011090700,Not Eligible,No
12011090801,Not Eligible,No
12011090802,Not Eligible,No
12011090900,Not Eligible,No
12011091000,Not Eligible,No
12011091100,Severe Distress or Non-Metropolitan,No
12011091201,Severe Distress or Non-Metropolitan,No
12011091202,Not Eligible,No
12011091300,Not Eligible,No
12011091400,Eligible,No
12011091500,Eligible,No
12011091601,Eligible,No
12011091602,Eligible,No
12011091701,Not Eligible,No
12011091702,Not Eligible,No
12011091802,Not Eligible,No
12011091803,Severe Distress or Non-Metropolitan,No
12011091804,Not Eligible,No
12011091901,Not Eligible,No
12011091903,Eligible,No
12011091904,Severe Distress or Non-Metropolitan,No
12011092000,Not Eligible,No
12011100103,Eligible,No
12011100104,Eligible,No
12011100105,Not Eligible,No
12011100106,Eligible,No
12011100107,Not Eligible,No
12011100108,Not Eligible,No
12011100201,Severe Distress or Non-Metropolitan,Low-Income Community
12011100203,Severe Distress or Non-Metropolitan,No
12011100204,Eligible,No
12011100301,Deep Distress or High Migration Rural County,No
12011100302,Severe Distress or Non-Metropolitan,No
12011100400,Severe Distress or Non-Metropolitan,No
12011100501,Deep Distress or High Migration Rural County,No
12011100502,Severe Distress or Non-Metropolitan,Low-Income Community
12011100600,Not Eligible,No
12011100700,Severe Distress or Non-Metropolitan,Low-Income Community
12011100801,Severe Distress or Non-Metropolitan,Low-Income Community
12011100803,Severe Distress or Non-Metropolitan,No
12011100804,Eligible,No
12011110100,Not Eligible,No
12011110301,Not Eligible,No
12011110303,Not Eligible,No
12011110307,Not Eligible,No
12011110308,Not Eligible,No
12011110309,Not Eligible,No
12011110311,Not Eligible,No
12011110312,Not Eligible,No
12011110313,Not Eligible,No
12011110319,Not Eligible,No
12011110321,Not Eligible,No
12011110323,Eligible,No
12011110326,Not Eligible,No
12011110327,Not Eligible,No
12011110328,Not Eligible,No
12011110330,Not Eligible,No
12011110332,Not Eligible,No
12011110333,Not Eligible,No
12011110334,Severe Distress or Non-Metropolitan,No
12011110337,Not Eligible,No
12011110338,Not Eligible,No
12011110339,Not Eligible,No
12011110341,Not Eligible,No
12011110344,Not Eligible,No
12011110345,Not Eligible,No
12011110346,Eligible,No
12011110347,Not Eligible,No
12011110348,Not Eligible,No
12011110349,Not Eligible,No
12011110350,Not Eligible,No
12011110351,Eligible,No
12011110352,Not Eligible,No
12011110353,Not Eligible,No
12011110354,Deep Distress or High Migration Rural County,No
12011110355,Severe Distress or Non-Metropolitan,No
12011110356,Not Eligible,No
12011110357,Not Eligible,No
12011110358,Not Eligible,No
12011110359,Not Eligible,No
12011110360,Not Eligible,No
12011110361,Not Eligible,No
12011110362,Severe Distress or Non-Metropolitan,No
12011110363,Not Eligible,No
12011110364,Not Eligible,No
12011110365,Not Eligible,No
12011110366,Not Eligible,No
12011110367,Eligible,No
12011110368,Not Eligible,No
12011110402,Not Eligible,No
12011110403,Not Eligible,No
12011110404,Not Eligible,No
12011110501,Not Eligible,Low-Income Community
12011110502,Not Eligible,No
12011110600,Eligible,No
12011980000,Not Eligible,No
12011990000,Not Eligible,No
12013010100,Severe Distress or Non-Metropolitan,No
12013010200,Severe Distress or Non-Metropolitan,No
12013010301,Not Eligible,No
12013010302,Severe Distress or Non-Metropolitan,No
12015010100,Not Eligible,Low-Income Community
12015010200,Eligible,No
12015010301,Not Eligible,No
12015010302,Severe Distress or Non-Metropolitan,No
12015010401,Not Eligible,No
12015010402,Not Eligible,No
12015010405,Not Eligible,No
12015010503,Not Eligible,No
12015010504,Severe Distress or Non-Metropolitan,No
12015010505,Not Eligible,No
12015010506,Not Eligible,No
12015020101,Not Eligible,No
12015020103,Not Eligible,No
12015020104,Not Eligible,No
12015020203,Not Eligible,No
12015020204,Not Eligible,No
12015020205,Eligible,No
12015020206,Not Eligible,No
12015020301,Not Eligible,No
12015020302,Not Eligible,No
12015020303,Not Eligible,No
12015020401,Not Eligible,No
12015020402,Not Eligible,No
12015020501,Not Eligible,No
12015020502,Not Eligible,No
12015020601,Not Eligible,No
12015020602,Severe Distress or Non-Metropolitan,No
12015020700,Severe Distress or Non-Metropolitan,Low-Income Community
12015020800,Eligible,No
12015020900,Not Eligible,No
12015021001,Not Eligible,No
12015021002,Deep Distress or High Migration Rural County,No
12015021003,Eligible,No
12015030101,Severe Distress or Non-Metropolitan,No
12015030102,Not Eligible,No
12015030201,Not Eligible,No
12015030202,Not Eligible,No
12015030301,Not Eligible,No
12015030302,Not Eligible,No
12015030401,Not Eligible,Low-Income Community
12015030402,Eligible,No
12015030501,Not Eligible,No
12015030504,Eligible,No
12015030505,Not Eligible,No
12015030506,Not Eligible,No
12015030507,Not Eligible,No
12015990000,Not Eligible,No
12017450103,Not Eligible,No
12017450104,Not Eligible,No
12017450105,Not Eligible,No
12017450106,Eligible,No
12017450201,Eligible,No
12017450202,Severe Distress or Non-Metropolitan,Low-Income Community
12017450305,Severe Distress or Non-Metropolitan,No
12017450306,Severe Distress or Non-Metropolitan,No
12017450307,Not Eligible,No
12017450308,Not Eligible,No
12017450309,Not Eligible,No
12017450310,Eligible,No
12017450401,Deep Distress or High Migration Rural County,No
12017450402,Eligible,No
12017450501,Not Eligible,No
12017450502,Not Eligible,No
12017450601,Deep Distress or High Migration Rural County,No
12017450602,Not Eligible,No
12017450703,Not Eligible,No
12017450704,Eligible,No
12017450705,Not Eligible,No
12017450706,Severe Distress or Non-Metropolitan,No
12017450800,Severe Distress or Non-Metropolitan,Low-Income Community
12017450901,Not Eligible,No
12017450902,Eligible,No
12017451001,Severe Distress or Non-Metropolitan,No
12017451002,Not Eligible,No
12017451101,Not Eligible,No
12017451103,Eligible,No
12017451104,Eligible,No
12017451200,Not Eligible,No
12017451300,Not Eligible,No
12017451400,Eligible,No
12017451501,Not Eligible,No
12017451502,Eligible,Low-Income Community
12017451603,Not Eligible,No
12017451604,Severe Distress or Non-Metropolitan,No
12017451605,Severe Distress or Non-Metropolitan,No
12017451606,Not Eligible,No
12017451701,Not Eligible,No
12017451702,Deep Distress or High Migration Rural County,No
12017990000,Not Eligible,No
12019030103,Not Eligible,No
12019030104,Eligible,Low-Income Community
12019030105,Severe Distress or Non-Metropolitan,No
12019030106,Severe Distress or Non-Metropolitan,No
12019030204,Not Eligible,No
12019030205,Not Eligible,No
12019030206,Not Eligible,No
12019030207,Not Eligible,No
12019030208,Not Eligible,No
12019030209,Not Eligible,No
12019030210,Not Eligible,No
12019030303,Not Eligible,No
12019030304,Not Eligible,No
12019030305,Severe Distress or Non-Metropolitan,No
12019030306,Not Eligible,No
12019030400,Severe Distress or Non-Metropolitan,No
12019030500,Eligible,No
12019030600,Not Eligible,No
12019030701,Not Eligible,No
12019030704,Not Eligible,No
12019030705,Not Eligible,No
12019030706,Not Eligible,No
12019030707,Not Eligible,No
12019030708,Not Eligible,No
12019030801,Not Eligible,No
12019030802,Not Eligible,No
12019030903,Eligible,No
12019030904,Not Eligible,No
12019030905,Not Eligible,No
12019030906,Not Eligible,No
12019031101,Not Eligible,No
12019031104,Not Eligible,No
12019031105,Not Eligible,No
12019031108,Eligible,No
12019031109,Deep Distress or High Migration Rural County,No
12019031110,Eligible,No
12019031201,Eligible,No
12019031202,Not Eligible,No
12019031203,Not Eligible,No
12019031301,Not Eligible,No
12019031302,Not Eligible,No
12019031303,Deep Distress or High Migration Rural County,No
12019031400,Eligible,No
12019031500,Not Eligible,No
12019980000,Not Eligible,No
12021000101,Not Eligible,No
12021000102,Not Eligible,No
12021000200,Not Eligible,No
12021000301,Not Eligible,No
12021000302,Not Eligible,No
12021000401,Not Eligible,No
12021000402,Not Eligible,No
12021000500,Not Eligible,No
12021000600,Not Eligible,No
12021000700,Deep Distress or High Migration Rural County,No
12021010102,Not Eligible,No
12021010107,Not Eligible,No
12021010108,Not Eligible,No
12021010109,Not Eligible,No
12021010110,Not Eligible,No
12021010111,Not Eligible,No
12021010112,Eligible,No
12021010113,Not Eligible,No
12021010114,Not Eligible,No
12021010205,Not Eligible,No
12021010208,Not Eligible,No
12021010209,Not Eligible,No
12021010210,Not Eligible,No
12021010211,Eligible,No
12021010213,Not Eligible,No
12021010215,Not Eligible,No
12021010216,Not Eligible,No
12021010217,Not Eligible,No
12021010300,Not Eligible,No
12021010401,Not Eligible,No
12021010408,Not Eligible,No
12021010411,Eligible,Low-Income Community
12021010416,Not Eligible,No
12021010419,Eligible,No
12021010420,Severe Distress or Non-Metropolitan,No
12021010421,Eligible,No
12021010422,Severe Distress or Non-Metropolitan,No
12021010423,Not Eligible,No
12021010424,Not Eligible,No
12021010425,Not Eligible,No
12021010426,Not Eligible,No
12021010427,Not Eligible,No
12021010428,Deep Distress or High Migration Rural County,No
12021010429,Not Eligible,No
12021010430,Not Eligible,No
12021010431,Not Eligible,No
12021010432,Not Eligible,No
12021010433,Not Eligible,No
12021010434,Not Eligible,No
12021010435,Not Eligible,No
12021010436,Not Eligible,No
12021010437,Not Eligible,No
12021010438,Not Eligible,No
12021010508,Deep Distress or High Migration Rural County,No
12021010511,Eligible,No
12021010512,Eligible,No
12021010513,Not Eligible,No
12021010514,Not Eligible,No
12021010515,Not Eligible,No
12021010516,Eligible,No
12021010517,Eligible,No
12021010518,Not Eligible,No
12021010519,Not Eligible,No
12021010520,Not Eligible,No
12021010601,Eligible,No
12021010602,Not Eligible,No
12021010604,Not Eligible,No
12021010605,Eligible,No
12021010606,Not Eligible,No
12021010701,Severe Distress or Non-Metropolitan,No
12021010702,Not Eligible,No
12021010801,Not Eligible,No
12021010804,Severe Distress or Non-Metropolitan,No
12021010805,Not Eligible,No
12021010806,Not Eligible,No
12021010807,Not Eligible,No
12021010808,Not Eligible,No
12021010902,Not Eligible,No
12021010904,Not Eligible,No
12021010905,Not Eligible,No
12021010906,Not Eligible,No
12021010907,Not Eligible,No
12021011003,Not Eligible,No
12021011103,Severe Distress or Non-Metropolitan,No
12021011107,Not Eligible,No
12021011108,Not Eligible,No
12021011109,Not Eligible,No
12021011110,Severe Distress or Non-Metropolitan,No
12021011111,Eligible,No
12021011112,Not Eligible,No
12021011113,Not Eligible,No
12021011114,Not Eligible,No
12021011204,Deep Distress or High Migration Rural County,No
12021011205,Deep Distress or High Migration Rural County,Low-Income Community
12021011206,Severe Distress or Non-Metropolitan,No
12021011207,Not Eligible,No
12021011208,Eligible,No
12021011209,Not Eligible,No
12021011210,Not Eligible,No
12021011211,Not Eligible,No
12021011212,Not Eligible,No
12021011213,Not Eligible,No
12021011214,Eligible,No
12021011303,Deep Distress or High Migration Rural County,No
12021011304,Severe Distress or Non-Metropolitan,No
12021011305,Deep Distress or High Migration Rural County,No
12021011306,Severe Distress or Non-Metropolitan,No
12021011400,Severe Distress or Non-Metropolitan,Low-Income Community
12021990000,Not Eligible,No
12023110201,Not Eligible,No
12023110202,Deep Distress or High Migration Rural County,No
12023110300,Severe Distress or Non-Metropolitan,Low-Income Community
12023110400,Deep Distress or High Migration Rural County,No
12023110500,Not Eligible,No
12023110602,Not Eligible,No
12023110603,Deep Distress or High Migration Rural County,No
12023110604,Not Eligible,No
12023110700,Not Eligible,No
12023110800,Not Eligible,No
12023110901,Not Eligible,No
12023110903,Severe Distress or Non-Metropolitan,No
12023110904,Not Eligible,No
12027010101,Severe Distress or Non-Metropolitan,No
12027010102,Severe Distress or Non-Metropolitan,No
12027010200,Severe Distress or Non-Metropolitan,Low-Income Community
12027010301,Deep Distress or High Migration Rural County,Low-Income Community
12027010302,Deep Distress or High Migration Rural County,No
12027010403,Severe Distress or Non-Metropolitan,No
12027010404,Severe Distress or Non-Metropolitan,No
12027010405,Not Eligible,No
12027010406,Severe Distress or Non-Metropolitan,No
12029970101,Severe Distress or Non-Metropolitan,Low-Income Community
12029970103,Not Eligible,No
12029970104,Severe Distress or Non-Metropolitan,No
12029970201,Severe Distress or Non-Metropolitan,No
12029970202,Severe Distress or Non-Metropolitan,No
12029990000,Not Eligible,No
12031000101,Severe Distress or Non-Metropolitan,No
12031000102,Deep Distress or High Migration Rural County,No
12031000200,Deep Distress or High Migration Rural County,No
12031000300,Deep Distress or High Migration Rural County,No
12031000600,Severe Distress or Non-Metropolitan,Low-Income Community
12031000700,Not Eligible,No
12031000800,Not Eligible,No
12031001000,Deep Distress or High Migration Rural County,Low-Income Community
12031001100,Not Eligible,No
12031001200,Severe Distress or Non-Metropolitan,No
12031001300,Deep Distress or High Migration Rural County,Low-Income Community
12031001401,Deep Distress or High Migration Rural County,No
12031001402,Eligible,No
12031001500,Deep Distress or High Migration Rural County,No
12031001600,Deep Distress or High Migration Rural County,Low-Income Community
12031002101,Not Eligible,No
12031002102,Not Eligible,No
12031002200,Not Eligible,No
12031002300,Not Eligible,No
12031002400,Not Eligible,No
12031002501,Severe Distress or Non-Metropolitan,No
12031002502,Not Eligible,No
12031002600,Deep Distress or High Migration Rural County,Low-Income Community
12031002701,Severe Distress or Non-Metropolitan,No
12031002702,Deep Distress or High Migration Rural County,No
12031002801,Deep Distress or High Migration Rural County,No
12031002802,Severe Distress or Non-Metropolitan,No
12031002901,Deep Distress or High Migration Rural County,Low-Income Community
12031002902,Deep Distress or High Migration Rural County,No
12031010101,Not Eligible,No
12031010104,Not Eligible,No
12031010105,Not Eligible,No
12031010106,Not Eligible,No
12031010107,Not Eligible,No
12031010202,Not Eligible,No
12031010203,Eligible,No
12031010204,Not Eligible,No
12031010301,Not Eligible,No
12031010305,Eligible,No
12031010306,Eligible,No
12031010307,Severe Distress or Non-Metropolitan,No
12031010308,Not Eligible,No
12031010401,Severe Distress or Non-Metropolitan,No
12031010402,Eligible,No
12031010501,Not Eligible,No
12031010502,Eligible,No
12031010503,Eligible,No
12031010601,Not Eligible,No
12031010602,Not Eligible,No
12031010700,Deep Distress or High Migration Rural County,Low-Income Community
12031010800,Severe Distress or Non-Metropolitan,No
12031010900,Severe Distress or Non-Metropolitan,No
12031011000,Severe Distress or Non-Metropolitan,Low-Income Community
12031011100,Severe Distress or Non-Metropolitan,No
12031011200,Severe Distress or Non-Metropolitan,No
12031011300,Severe Distress or Non-Metropolitan,Low-Income Community
12031011400,Deep Distress or High Migration Rural County,No
12031011500,Deep Distress or High Migration Rural County,Low-Income Community
12031011600,Severe Distress or Non-Metropolitan,Low-Income Community
12031011700,Not Eligible,No
12031011800,Severe Distress or Non-Metropolitan,Low-Income Community
12031011901,Not Eligible,No
12031011903,Not Eligible,No
12031011904,Not Eligible,No
12031011905,Not Eligible,No
12031012000,Eligible,No
12031012100,Deep Distress or High Migration Rural County,No
12031012201,Severe Distress or Non-Metropolitan,No
12031012202,Eligible,No
12031012300,Eligible,No
12031012400,Not Eligible,Low-Income Community
12031012500,Eligible,No
12031012601,Eligible,Low-Income Community
12031012602,Severe Distress or Non-Metropolitan,Low-Income Community
12031012702,Severe Distress or Non-Metropolitan,No
12031012703,Not Eligible,No
12031012704,Severe Distress or Non-Metropolitan,No
12031012800,Eligible,No
12031012900,Severe Distress or Non-Metropolitan,No
12031013000,Not Eligible,No
12031013100,Not Eligible,No
12031013200,Eligible,No
12031013301,Not Eligible,No
12031013302,Severe Distress or Non-Metropolitan,No
12031013402,Severe Distress or Non-Metropolitan,No
12031013403,Eligible,No
12031013404,Eligible,No
12031013502,Not Eligible,No
12031013504,Eligible,No
12031013522,Not Eligible,No
12031013523,Not Eligible,No
12031013524,Severe Distress or Non-Metropolitan,No
12031013525,Deep Distress or High Migration Rural County,No
12031013526,Not Eligible,No
12031013723,Not Eligible,No
12031013728,Not Eligible,No
12031013729,Not Eligible,No
12031013730,Not Eligible,No
12031013731,Not Eligible,No
12031013732,Not Eligible,No
12031013733,Not Eligible,No
12031013800,Not Eligible,Low-Income Community
12031013901,Eligible,Low-Income Community
12031013902,Not Eligible,No
12031013904,Eligible,No
12031013905,Not Eligible,No
12031013906,Not Eligible,No
12031014001,Not Eligible,No
12031014002,Not Eligible,No
12031014101,Not Eligible,No
12031014103,Not Eligible,No
12031014104,Not Eligible,No
12031014203,Not Eligible,No
12031014204,Not Eligible,No
12031014205,Not Eligible,No
12031014206,Not Eligible,No
12031014311,Severe Distress or Non-Metropolitan,No
12031014312,Eligible,No
12031014328,Not Eligible,No
12031014329,Not Eligible,No
12031014330,Not Eligible,No
12031014331,Not Eligible,No
12031014333,Not Eligible,No
12031014334,Not Eligible,No
12031014335,Not Eligible,No
12031014336,Not Eligible,No
12031014338,Not Eligible,No
12031014339,Not Eligible,No
12031014340,Not Eligible,No
12031014341,Not Eligible,No
12031014342,Eligible,No
12031014343,Not Eligible,No
12031014344,Not Eligible,No
12031014408,Not Eligible,No
12031014413,Not Eligible,No
12031014414,Severe Distress or Non-Metropolitan,No
12031014415,Not Eligible,No
12031014416,Not Eligible,No
12031014417,Not Eligible,No
12031014418,Not Eligible,No
12031014419,Not Eligible,No
12031014420,Not Eligible,No
12031014421,Not Eligible,No
12031014422,Not Eligible,No
12031014423,Not Eligible,No
12031014424,Not Eligible,No
12031014425,Not Eligible,No
12031014426,Not Eligible,No
12031014427,Severe Distress or Non-Metropolitan,No
12031014428,Not Eligible,No
12031014500,Eligible,No
12031014601,Not Eligible,No
12031014603,Severe Distress or Non-Metropolitan,No
12031014604,Eligible,No
12031014702,Severe Distress or Non-Metropolitan,No
12031014703,Not Eligible,No
12031014704,Severe Distress or Non-Metropolitan,No
12031014800,Eligible,No
12031014901,Not Eligible,No
12031014902,Not Eligible,No
12031015001,Eligible,No
12031015002,Eligible,No
12031015100,Severe Distress or Non-Metropolitan,No
12031015200,Severe Distress or Non-Metropolitan,No
12031015300,Deep Distress or High Migration Rural County,No
12031015400,Severe Distress or Non-Metropolitan,No
12031015501,Eligible,No
12031015502,Deep Distress or High Migration Rural County,Low-Income Community
12031015600,Not Eligible,No
12031015701,Severe Distress or Non-Metropolitan,No
12031015702,Eligible,No
12031015803,Not Eligible,No
12031015804,Not Eligible,No
12031015805,Severe Distress or Non-Metropolitan,No
12031015806,Eligible,No
12031015922,Eligible,No
12031015924,Not Eligible,No
12031015925,Eligible,No
12031015926,Eligible,No
12031015927,Deep Distress or High Migration Rural County,No
12031015928,Eligible,No
12031015929,Not Eligible,No
12031016001,Eligible,No
12031016002,Not Eligible,No
12031016101,Not Eligible,No
12031016102,Eligible,No
12031016200,Eligible,No
12031016300,Severe Distress or Non-Metropolitan,No
12031016400,Not Eligible,No
12031016500,Not Eligible,No
12031016603,Not Eligible,No
12031016604,Not Eligible,No
12031016605,Not Eligible,No
12031016606,Severe Distress or Non-Metropolitan,No
12031016711,Not Eligible,No
12031016724,Not Eligible,No
12031016725,Not Eligible,No
12031016726,Not Eligible,No
12031016727,Not Eligible,No
12031016728,Not Eligible,No
12031016729,Not Eligible,No
12031016730,Not Eligible,No
12031016731,Eligible,No
12031016801,Not Eligible,No
12031016803,Not Eligible,No
12031016804,Not Eligible,No
12031016807,Eligible,No
12031016808,Not Eligible,No
12031016809,Not Eligible,No
12031016810,Not Eligible,No
12031016811,Not Eligible,No
12031016812,Not Eligible,No
12031016813,Not Eligible,No
12031017101,Not Eligible,No
12031017102,Not Eligible,No
12031017200,Severe Distress or Non-Metropolitan,No
12031017300,Not Eligible,No
12031017400,Deep Distress or High Migration Rural County,Low-Income Community
12031990000,Not Eligible,No
12033000100,Not Eligible,No
12033000300,Eligible,No
12033000400,Deep Distress or High Migration Rural County,Low-Income Community
12033000500,Not Eligible,No
12033000600,Deep Distress or High Migration Rural County,No
12033000801,Not Eligible,No
12033000802,Not Eligible,No
12033000900,Not Eligible,No
12033001001,Not Eligible,No
12033001002,Eligible,No
12033001101,Not Eligible,No
12033001103,Not Eligible,No
12033001104,Not Eligible,No
12033001201,Eligible,No
12033001202,Severe Distress or Non-Metropolitan,No
12033001300,Deep Distress or High Migration Rural County,Low-Income Community
12033001401,Not Eligible,No
12033001402,Eligible,No
12033001500,Severe Distress or Non-Metropolitan,No
12033001600,Deep Distress or High Migration Rural County,Low-Income Community
12033001700,Deep Distress or High Migration Rural County,Low-Income Community
12033001800,Severe Distress or Non-Metropolitan,No
12033001900,Deep Distress or High Migration Rural County,Low-Income Community
12033002000,Severe Distress or Non-Metropolitan,No
12033002100,Deep Distress or High Migration Rural County,No
12033002200,Deep Distress or High Migration Rural County,No
12033002300,Not Eligible,No
12033002400,Not Eligible,No
12033002500,Not Eligible,No
12033002601,Not Eligible,No
12033002602,Not Eligible,No
12033002604,Not Eligible,No
12033002605,Not Eligible,No
12033002606,Not Eligible,No
12033002607,Not Eligible,No
12033002701,Eligible,No
12033002703,Severe Distress or Non-Metropolitan,No
12033002704,Severe Distress or Non-Metropolitan,No
12033002801,Deep Distress or High Migration Rural County,No
12033002802,Not Eligible,No
12033002803,Eligible,Low-Income Community
12033002804,Not Eligible,No
12033002900,Deep Distress or High Migration Rural County,No
12033003001,Severe Distress or Non-Metropolitan,No
12033003002,Eligible,No
12033003100,Eligible,No
12033003201,Severe Distress or Non-Metropolitan,No
12033003203,Severe Distress or Non-Metropolitan,No
12033003204,Not Eligible,No
12033003301,Not Eligible,No
